,The Working BBA - Enterprise Leadership,The Working BBA - Family Business,The Working BBA - Venture Builder
,"Outstation Apprenticeship
Work in a new city with a different employer — broader exposure and network (2 months)","Family Business Project
Work inside another family's business — learn how others do it (2 months)","Venture Project
Venture Project, come up with an idea, do the market research, and go to market with an MVP"
,,,
,,,
,AWARENESS,AWARENESS,AWARENESS
,"Camp
Solo Travel Service Project (typically ~3–7 days) — independent immersion experience","Camp
Solo Travel Service Project (typically ~3–7 days) — independent immersion experience","Camp
Solo Travel Service Project (typically ~3–7 days) — independent immersion experience"
,"Career + Reflection
4 Career Blueprint sessions + StorySells 2 + Reflection & Coaching Sessions + Industry Networking Week + Daily Cards","Career + Reflection
4 Career Blueprint sessions + StorySells 2 + Reflection & Coaching Sessions + Industry Networking Week + Daily Cards","Career + Reflection
4 Career Blueprint sessions + StorySells 2 + Reflection & Coaching Sessions + Industry Networking Week + Daily Cards"
,,"Business Coaching
2 Individual + 2 Family coaching sessions (Family alignment & expectations)","Business Coaching
2 Individual + 2 Family coaching sessions (Family alignment & expectations)"
,,,
,ASSESSMENT,ASSESSMENT,ASSESSMENT
,"How We Track Progress (Year 2)
Progress Visibility: Self & Mentor Assessments · Apprenticeship Feedback  · Peer Feedback · Skills progression dashboard
Evidence produced (Year 2)
Challenge Artefacts + Consulting Client Letter + Venture Report + Apprenticeship Letter + Working Documents + Quarterly Portfolio reviews","How We Track Progress (Year 2)
Progress Visibility: Self & Mentor Assessments · Apprenticeship Feedback  · Peer Feedback · Skills progression dashboard
Evidence produced (Year 2)
Challenge Artefacts + Consulting Client Letter + Venture Report + Apprenticeship Letter + Working Documents + Quarterly Portfolio reviews","How We Track Progress (Year 2)
Progress Visibility: Self & Mentor Assessments · Apprenticeship Feedback  · Peer Feedback · Skills progression dashboard
Evidence produced (Year 2)
Challenge Artefacts + Consulting Client Letter + Venture Report + Apprenticeship Letter + Working Documents + Quarterly Portfolio reviews"
,,,
,,,
,Y3 - WORK YEAR,,
,EDUCATION,EDUCATION,EDUCATION
,"Final Challenges
Legal Aspects of Business + Business Ethics & Governance (typically 2–4 weeks total)","Final Challenges
Legal Aspects of Business + Business Ethics & Governance (typically 2–4 weeks total)","Final Challenges
Legal Aspects of Business + Business Ethics & Governance (typically 2–4 weeks total)"
,"Client Multi-domain Project
Integrated project or team residency covering marketing, data analysis, legal aspects, client management (typically 4–8 weeks)","Client Multi-domain Project
Integrated project or team residency covering marketing, data analysis, legal aspects, client management (typically 4–8 weeks)","Client Multi-domain Project
Integrated project or team residency covering marketing, data analysis, legal aspects, client management (typically 4–8 weeks)"
,,"Founder-Led Workshop
3-day Founder Led Business Transition Workshop, How successful families navigate transitions","Founder-Led Workshop
3-day Founder Led Business Incubation Workshop, How founders scale from idea to traction"
